CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.62.19.43;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.62.19.43;El valor de Receptor.Nit debe ser entre 9 y 14 caracteres;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.62.19.43;Errores Totales
1469173;621004060070;1;0;0;0;1
1470247;611001060009;1;0;0;0;1
1468887;621004060070;1;0;0;0;1
1470278;611001060010;1;0;0;0;1
1469727;621004060070;1;0;0;0;1
1470215;611001060011;0;1;0;0;1
1470480;114203990147;0;1;0;0;1
1470476;114203990147;0;1;0;0;1
1470560;114203990148;0;1;0;0;1
1470559;114203990148;0;1;0;0;1
1470723;114204990111;1;0;0;0;1
1470800;114204990111;1;0;0;0;1
1471099;114204990111;1;0;0;0;1
1471116;114204990111;0;1;0;0;1
1470811;114204990111;0;1;0;0;1
1472040;114204990121;1;0;0;0;1
1472138;114204990121;0;1;0;0;1
1473953;114204990124;0;1;0;0;1
1471978;114204990121;1;0;0;0;1
1471007;114204990111;1;0;0;0;1
1471477;114204990121;1;0;0;0;1
1474063;114204990124;1;0;0;0;1
1473994;114204990124;0;1;0;0;1
1474169;114204990124;0;1;0;0;1
1472718;114204990121;1;0;0;0;1
1478464;611001060002;1;0;0;0;1
1471211;114204990113;0;1;0;0;1
1470959;114204990111;1;0;0;0;1
1471566;114204990121;1;0;0;0;1
1474042;114204990124;1;0;0;0;1
1473676;114204990121;1;0;0;0;1
1478560;621001020004;0;1;0;0;1
1478564;621001020004;0;1;0;0;1
1478618;621001020004;0;1;0;0;1
1478572;621001020004;0;1;0;0;1
1478620;621001020004;0;1;0;0;1
1478624;621001020004;0;1;0;0;1
1478662;621001020004;0;1;0;0;1
1478701;621001020004;0;1;0;0;1
1478708;621001020004;0;1;0;0;1
1478772;621001020004;1;0;0;0;1
1478798;621001020004;0;1;0;0;1
1478813;621001020004;1;0;0;0;1
1478839;621001020004;0;1;0;0;1
1478924;621001020004;0;1;0;0;1
1478933;621001020004;0;1;0;0;1
1478955;621001020004;0;1;0;0;1
1478901;621001020004;0;1;0;0;1
1478986;621001020004;0;1;0;0;1
1478947;621001020004;1;0;0;0;1
1481970;621004060084;0;1;0;0;1
1481937;621004060084;0;1;0;0;1
1479100;621004060084;0;1;0;0;1
1483347;621004060084;0;1;0;0;1
1483352;621004060084;0;1;0;0;1
1484603;621004060005;0;0;1;0;1
1483494;225004010004;0;1;0;0;1
1480269;621004060084;1;0;0;0;1
1483511;225004010004;0;1;0;0;1
1484332;621004060073;0;1;0;0;1
1484344;621004060073;0;1;0;0;1
1484335;621004060073;0;1;0;0;1
1484345;621004060073;0;1;0;0;1
1484379;621004060073;0;1;0;0;1
1482074;621004060084;0;1;0;0;1
1484518;621004060005;0;0;0;1;1
1482073;621004060084;0;1;0;0;1
1481955;621004060084;0;1;0;0;1
1484594;621004060005;0;1;0;0;1
1484668;125002040103;0;1;0;0;1
1484663;125002040103;0;1;0;0;1
1484669;125002040103;0;1;0;0;1
1484834;125002040103;0;1;0;0;1
1484666;125002040103;0;1;0;0;1
1484835;125002040103;0;1;0;0;1
1484629;621004060006;0;1;0;0;1
1484765;125002040103;1;0;0;0;1
1484802;125002040103;0;1;0;0;1
1484628;621004060006;0;1;0;0;1
1485176;125002040103;0;1;0;0;1
1485227;125002040103;0;1;0;0;1
1485289;125002040103;1;0;0;0;1
1485235;125002040103;0;1;0;0;1
1485246;125002040103;1;0;0;0;1
1485512;125002040103;0;1;0;0;1
1485250;125002040103;1;0;0;0;1
1485252;125002040103;1;0;0;0;1
1486334;125002040103;1;0;0;0;1
1485251;125002040103;1;0;0;0;1
1486362;125002040103;1;0;0;0;1
1485245;125002040103;1;0;0;0;1
1485513;125002040103;0;1;0;0;1
1488084;125002040104;0;1;0;0;1
1488341;125002040105;0;1;0;0;1
1488187;125002040104;0;1;0;0;1
1486695;125002040103;1;0;0;0;1
1488342;125002040105;0;1;0;0;1
1488177;125002040104;0;1;0;0;1
1487255;125002040103;1;0;0;0;1
1488198;125002040104;1;0;0;0;1
1488343;125002040105;0;1;0;0;1
1488591;125002040105;0;1;0;0;1
1488186;125002040104;0;1;0;0;1
1490494;222099910175;1;0;0;0;1
1491443;125099910124;1;0;0;0;1
1488962;125002040106;0;1;0;0;1
1489615;222099910175;1;0;0;0;1
1491415;125099910124;1;0;0;0;1
1488516;125002040105;1;0;0;0;1
1491092;125099910124;0;1;0;0;1
1489939;222099910175;1;0;0;0;1
1488592;125002040105;0;1;0;0;1
Totales;112 DTE;41;69;1;1;
