CORRELATIVO;CUENTA_CONTABLE;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.62.19.43;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.62.19.43;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.62.19.43;Error MINISTERIO HACIENDA NO SE HA PROPORCIONADO DATOS PARA VALIDAR. Su direccion IP es: 190.62.19.43;Errores Totales
1492649;611001060011;1;0;0;0;1
1492532;621004060070;0;1;0;0;1
1492038;621004060070;0;1;0;0;1
1492554;621004060070;0;0;1;0;1
1492887;611001060010;0;1;0;0;1
1492927;611001060010;0;0;1;0;1
1492519;621004060070;0;0;1;0;1
1493054;611001060010;0;1;0;0;1
1493020;611001060010;0;0;1;0;1
1492949;611001060010;0;0;1;0;1
1504492;621004060084;0;1;0;0;1
1492950;611001060010;0;0;1;0;1
1493061;611001060010;0;0;1;0;1
1503864;621004060084;0;0;1;0;1
1493153;114103990113;0;0;1;0;1
1504940;621004060084;0;0;1;0;1
1493193;114103990113;0;0;1;0;1
1493314;114103990163;0;0;1;0;1
1493440;114203990134;1;0;0;0;1
1493524;114203990147;0;0;1;0;1
1493749;114204990111;0;1;0;0;1
1493807;114204990111;0;1;0;0;1
1493836;114204990111;0;1;0;0;1
1493852;114204990111;0;0;1;0;1
1494317;114204990111;0;0;1;0;1
1494259;114204990111;0;0;1;0;1
1493999;114204990111;0;1;0;0;1
1493812;114204990111;0;0;1;0;1
1494228;114204990111;0;1;0;0;1
1494416;114204990111;0;0;1;0;1
1494601;114204990111;0;1;0;0;1
1493864;114204990111;0;0;1;0;1
1495041;114204990121;0;1;0;0;1
1495919;114204990121;0;0;1;0;1
1496290;114204990121;0;0;1;0;1
1496497;114204990124;0;0;1;0;1
1501114;621004060007;1;0;0;0;1
1496292;114204990121;0;1;0;0;1
1496524;114204990124;0;0;1;0;1
1496495;114204990124;0;1;0;0;1
1496670;114204990124;0;0;1;0;1
1496694;114204990124;0;0;1;0;1
1493650;114204990111;0;1;0;0;1
1493936;114204990111;0;0;1;0;1
1496753;114204990124;0;0;1;0;1
1496860;114204990124;0;0;1;0;1
1494338;114204990111;0;0;1;0;1
1494605;114204990111;0;1;0;0;1
1496053;114204990121;0;1;0;0;1
1496924;114204990124;0;0;1;0;1
1496548;114204990124;0;1;0;0;1
1496792;114204990124;0;0;1;0;1
1497197;114204990124;0;0;1;0;1
1497280;114204990124;0;1;0;0;1
1497222;114204990124;0;0;1;0;1
1496687;114204990124;0;1;0;0;1
1496701;114204990124;0;1;0;0;1
1497233;114204990124;0;1;0;0;1
1501195;621001020004;1;0;0;0;1
1501157;621001020004;0;0;1;0;1
1497142;114204990124;0;1;0;0;1
1496691;114204990124;0;1;0;0;1
1501330;621001020004;1;0;0;0;1
1501215;621001020004;0;0;0;1;1
1501222;621001020004;0;0;1;0;1
1501204;621001020004;0;0;1;0;1
1501288;621001020004;0;0;1;0;1
1501322;621001020004;0;1;0;0;1
1501248;621001020004;0;1;0;0;1
1501299;621001020004;0;1;0;0;1
1501259;621001020004;0;1;0;0;1
1501427;621001020004;0;0;1;0;1
1501506;621004060084;0;0;1;0;1
1501558;621004060084;0;1;0;0;1
1501539;621004060084;0;1;0;0;1
1505726;621004060073;0;1;0;0;1
1505727;621004060073;0;0;1;0;1
1505725;621004060073;0;1;0;0;1
1505808;621004060005;0;0;1;0;1
1501563;621004060084;0;1;0;0;1
1505724;621004060073;0;1;0;0;1
1505858;621004060005;0;0;1;0;1
1505957;621004060006;0;0;1;0;1
1506031;125002040103;0;0;1;0;1
1506351;125002040103;0;1;0;0;1
1506326;125002040103;0;0;1;0;1
1506217;125002040103;0;1;0;0;1
1506443;125002040103;0;0;1;0;1
1506034;125002040103;0;0;1;0;1
1506457;125002040103;0;1;0;0;1
1506447;125002040103;0;0;1;0;1
1506622;125002040103;0;1;0;0;1
1506170;125002040103;0;1;0;0;1
1506606;125002040103;0;0;1;0;1
1506753;125002040103;0;1;0;0;1
1506861;125002040103;0;0;1;0;1
1507054;125002040103;0;0;1;0;1
1507098;125002040103;0;0;1;0;1
1506754;125002040103;0;1;0;0;1
1507129;125002040103;0;0;1;0;1
1507466;125002040103;0;1;0;0;1
1507484;125002040103;0;0;1;0;1
1507613;125002040103;0;0;1;0;1
1507640;125002040103;0;0;1;0;1
1508049;125002040103;0;1;0;0;1
1508535;125002040103;0;1;0;0;1
1508044;125002040103;0;1;0;0;1
1508920;125002040103;0;0;1;0;1
1509298;125002040103;0;1;0;0;1
1509528;125002040103;0;0;1;0;1
1507785;125002040103;0;1;0;0;1
1509321;125002040103;0;1;0;0;1
1509611;125002040103;0;1;0;0;1
1509612;125002040103;0;1;0;0;1
1509562;125002040103;0;0;1;0;1
1509815;125002040104;0;1;0;0;1
1507462;125002040103;0;0;1;0;1
1509752;125002040104;0;0;1;0;1
1509299;125002040103;0;1;0;0;1
1507784;125002040103;0;1;0;0;1
1508165;125002040103;0;1;0;0;1
1509778;125002040104;0;0;1;0;1
1509732;125002040104;0;1;0;0;1
1509907;125002040104;0;0;1;0;1
1509753;125002040104;0;0;1;0;1
1510044;125002040104;0;0;1;0;1
1510105;125002040104;0;1;0;0;1
1509717;125002040104;0;0;1;0;1
1510005;125002040104;0;0;1;0;1
1510106;125002040104;0;1;0;0;1
1510000;125002040104;0;0;1;0;1
1510129;125002040104;0;1;0;0;1
1509673;125002040104;0;1;0;0;1
1510107;125002040104;0;1;0;0;1
1509900;125002040104;0;0;1;0;1
1509541;125002040103;0;1;0;0;1
1509894;125002040104;0;0;1;0;1
1510425;125002040105;0;0;1;0;1
1510423;125002040105;0;0;1;0;1
1510896;125002040105;0;1;0;0;1
1511347;125002040105;0;1;0;0;1
1510798;125002040105;0;1;0;0;1
1511500;125002040105;0;1;0;0;1
1511501;125002040105;0;1;0;0;1
1510895;125002040105;0;1;0;0;1
1510104;125002040104;0;1;0;0;1
1511371;125002040105;0;0;1;0;1
1512253;222099910175;0;1;0;0;1
1509758;125002040104;0;1;0;0;1
1511370;125002040105;0;0;1;0;1
1512801;222099910175;0;0;1;0;1
1512767;222099910175;0;0;1;0;1
1511346;125002040105;0;1;0;0;1
1508047;125002040103;0;1;0;0;1
1512780;222099910175;0;1;0;0;1
1509326;125002040103;0;0;1;0;1
1510758;125002040105;0;0;1;0;1
1511171;125002040105;0;1;0;0;1
Totales;158 DTE;5;74;78;1;
