CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.62.19.43;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.62.19.43;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.62.19.43;Errores Totales
1536036;621004060070;1;0;0;1
1536012;621004060070;0;1;0;1
1536490;114203990113;0;1;0;1
1536720;114204990111;0;1;0;1
1536738;114204990111;0;1;0;1
1536977;114204990111;0;1;0;1
1537777;114204990121;1;0;0;1
1536689;114204990111;0;1;0;1
1537301;114204990121;1;0;0;1
1538210;114204990124;0;1;0;1
1537558;114204990121;1;0;0;1
1536745;114204990111;1;0;0;1
1538237;114204990124;0;1;0;1
1538236;114204990124;0;1;0;1
1538294;114204990124;0;1;0;1
1538582;114204990158;0;1;0;1
1538207;114204990124;0;1;0;1
1537839;114204990121;0;1;0;1
1538289;114204990124;0;1;0;1
1541566;621001020004;0;1;0;1
1541581;621001020004;1;0;0;1
1541632;621001020004;0;1;0;1
1541722;621001020004;0;1;0;1
1541746;621001020004;1;0;0;1
1541729;621001020004;1;0;0;1
1541819;621001020004;0;1;0;1
1541903;621001020004;0;0;1;1
1541934;621001020004;0;0;1;1
1541864;621001020004;0;1;0;1
1541879;621001020004;1;0;0;1
1542066;621001020004;0;0;1;1
1542140;621001020004;0;0;1;1
1542002;621001020004;0;1;0;1
1542073;621001020004;0;1;0;1
1542056;621001020004;0;1;0;1
1542336;621004060084;0;1;0;1
1542960;621004060084;1;0;0;1
1543937;621004060084;1;0;0;1
1543946;621004060084;0;1;0;1
1544029;621004060084;0;1;0;1
1542379;621004060084;0;1;0;1
1545062;621004060005;0;1;0;1
1544665;621004060044;0;1;0;1
1545055;621004060005;1;0;0;1
1542680;621004060084;0;1;0;1
1543951;621004060084;0;1;0;1
1545134;621004060005;1;0;0;1
1543939;621004060084;0;1;0;1
1545196;621004060005;0;1;0;1
1545211;621004060005;1;0;0;1
1545272;621004060005;1;0;0;1
1545435;125002040103;0;1;0;1
1545806;125002040103;0;1;0;1
1545888;125002040103;0;1;0;1
1545694;125002040103;0;1;0;1
1546111;125002040103;1;0;0;1
1545891;125002040103;1;0;0;1
1546332;125002040103;0;1;0;1
1546534;125002040103;0;1;0;1
1546718;125002040103;1;0;0;1
1546127;125002040103;0;1;0;1
1546513;125002040103;0;1;0;1
1546126;125002040103;0;1;0;1
1546934;125002040104;0;1;0;1
1547013;125002040104;0;1;0;1
1547098;125002040104;0;1;0;1
1545490;125002040103;0;1;0;1
1547080;125002040104;0;1;0;1
1547334;125002040105;0;1;0;1
1547332;125002040105;0;1;0;1
1547944;222099910175;0;1;0;1
1547971;222099910175;1;0;0;1
1547206;125002040105;0;1;0;1
1548533;125099910124;1;0;0;1
1548391;125099910124;1;0;0;1
1547333;125002040105;0;1;0;1
1547655;125002040106;1;0;0;1
Totales;77 DTE;22;51;4;
