CORRELATIVO;CUENTA_CONTABLE;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.62.19.43;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.62.19.43;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.62.19.43;Errores Totales
1553256;621004060007;1;0;0;1
1549130;114103990113;0;1;0;1
1549072;611001060009;0;1;0;1
1550758;114204990163;0;1;0;1
1550752;114204990162;0;1;0;1
1550757;114204990163;0;1;0;1
1551902;611001060002;0;0;1;1
1550756;114204990163;0;1;0;1
1549302;114204990111;0;0;1;1
1549351;114204990111;0;0;1;1
1550477;114204990124;0;1;0;1
1550507;114204990124;0;1;0;1
1550476;114204990124;0;1;0;1
1553395;621001020004;1;0;0;1
1553528;621001020004;1;0;0;1
1553519;621001020004;0;1;0;1
1553566;621001020004;0;1;0;1
1553612;621001020004;0;1;0;1
1553587;621001020004;0;1;0;1
1553712;621004060013;1;0;0;1
1553713;621004060013;1;0;0;1
1553714;621004060013;1;0;0;1
1553684;621001020012;0;0;1;1
1553685;621001020012;0;1;0;1
1553822;621004060084;0;1;0;1
1555093;621004060084;0;0;1;1
1555090;621004060084;0;1;0;1
1555120;621004060084;0;1;0;1
1554665;621004060084;0;0;1;1
1556728;621004060073;0;1;0;1
1556754;621004060005;0;1;0;1
1556720;621004060073;0;1;0;1
1556729;621004060073;0;1;0;1
1556841;621004060005;0;1;0;1
1556893;621004060005;0;1;0;1
1557163;125002040103;0;0;1;1
1557179;125002040103;0;1;0;1
1557236;125002040103;0;1;0;1
1557479;125002040103;0;1;0;1
1557162;125002040103;0;0;1;1
1558095;125002040104;0;1;0;1
1557365;125002040103;0;0;1;1
1557210;125002040103;0;1;0;1
1558118;125002040104;0;1;0;1
1558267;125002040105;0;0;1;1
1558332;125002040105;0;1;0;1
1558304;125002040105;0;0;1;1
1558639;125002040108;0;1;0;1
Totales;48 DTE;6;31;11;
