CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.62.19.43;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.62.19.43;Error MINISTERIO HACIENDA NO SE HA PROPORCIONADO DATOS PARA VALIDAR. Su direccion IP es: 190.62.19.43;Errores Totales
1567765;611001060009;1;0;0;1
1567791;611001060010;0;1;0;1
1567749;621004060080;1;0;0;1
1568544;114204990131;1;0;0;1
1567803;114103990113;1;0;0;1
1567792;611001060010;0;1;0;1
1568545;114204990131;1;0;0;1
1568550;114204990131;1;0;0;1
1568631;924001000104;1;0;0;1
1568492;114204990124;1;0;0;1
1567992;114204990113;1;0;0;1
1567985;114204990111;0;1;0;1
1567958;114204990111;0;1;0;1
1567990;114204990111;1;0;0;1
1567944;114204990111;1;0;0;1
1572185;621001020004;1;0;0;1
1572203;621001020004;0;1;0;1
1572218;621001020004;1;0;0;1
1572282;621001020004;1;0;0;1
1572368;621001020004;1;0;0;1
1572420;621001020004;1;0;0;1
1572436;621001020004;1;0;0;1
1572504;621001020004;1;0;0;1
1572529;621001020004;1;0;0;1
1572441;621001020004;1;0;0;1
1574108;621004060084;1;0;0;1
1574102;621004060084;0;1;0;1
1572611;621004060013;0;0;1;1
1575162;621004060044;1;0;0;1
1572729;621004060084;1;0;0;1
1574842;621004060044;1;0;0;1
1574964;621004060044;1;0;0;1
1575872;621004060073;0;1;0;1
1575870;621004060073;0;1;0;1
1575906;621004060005;0;0;1;1
1576015;621004060005;1;0;0;1
1576181;621004060006;1;0;0;1
1576375;125002040103;1;0;0;1
1576409;125002040103;1;0;0;1
1576415;125002040103;1;0;0;1
1576410;125002040103;1;0;0;1
1576794;125002040103;0;1;0;1
1577044;125002040105;0;1;0;1
1576951;125002040105;1;0;0;1
1576416;125002040103;1;0;0;1
1576950;125002040105;1;0;0;1
1576804;125002040103;0;1;0;1
1576793;125002040103;0;1;0;1
Totales;48 DTE;34;12;2;
