CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.57.73.62;Errores Totales
1598654;114204990111;1;0;1
1601893;621004060084;1;0;1
1601881;621004060084;1;0;1
1601906;621004060084;1;0;1
1602492;621004060033;1;0;1
1602469;621004060084;0;1;1
1602825;621004060044;0;1;1
1603473;621004060036;0;1;1
1602645;621004060044;1;0;1
1600752;621004060084;1;0;1
1601134;621004060084;0;1;1
1603413;621004060044;0;1;1
1598610;114103990113;0;1;1
Totales;13 DTE;7;6;
