CORRELATIVO;CUENTA_CONTABLE;El valor de Receptor.Nit debe ser entre 9 y 14 caracteres;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.57.73.62;El valor de Receptor.Nrc debe ser entre 2 y 8 caracteres;Errores Totales
1628714;621004060007;1;0;0;0;0;1
1628652;621004060007;0;1;0;0;0;1
1628797;621004060007;0;0;1;0;0;1
1628750;621004060007;0;0;1;0;0;1
1628806;621004060007;0;0;1;0;0;1
1628831;621004060007;0;0;1;0;0;1
1628807;621004060007;0;0;1;0;0;1
1628938;621004060007;0;1;0;0;0;1
1629003;621004060007;0;0;1;0;0;1
1617810;621004060070;0;0;0;1;0;1
1618415;611001050011;0;0;1;0;0;1
1618405;611001060010;0;0;0;1;0;1
1618609;114204990111;0;0;0;1;0;1
1618686;114204990113;0;0;1;0;0;1
1618628;114204990111;0;0;0;1;0;1
1618912;114204990121;0;0;0;1;0;1
1628442;621004060007;0;0;1;0;0;1
1619645;114204990124;0;0;1;0;0;1
1620794;611001060002;0;0;0;1;0;1
1619776;114204990131;0;0;1;0;0;1
1629100;621001020004;0;0;0;0;1;1
1628475;621004060007;0;0;1;0;0;1
1628510;621004060007;0;1;0;0;0;1
1629044;621004060007;0;0;1;0;0;1
1629095;621001020004;0;1;0;0;0;1
1629087;621004060007;0;0;1;0;0;1
1629088;621004060007;0;0;1;0;0;1
1629106;621001020004;0;0;1;0;0;1
1629089;621004060007;0;0;1;0;0;1
1629407;621001020004;0;0;0;0;1;1
1629120;621001020004;0;0;1;0;0;1
1629318;621001020004;0;0;1;0;0;1
1629151;621001020004;0;0;1;0;0;1
1629452;621001020004;0;1;0;0;0;1
1629406;621001020004;0;0;1;0;0;1
1629479;621001020004;0;0;1;0;0;1
1629483;621001020004;0;0;1;0;0;1
1629569;621001020004;0;0;1;0;0;1
1629543;621001020004;0;0;1;0;0;1
1629598;621004060086;0;0;1;0;0;1
1639885;621004060036;0;1;0;0;0;1
1629730;621004060084;0;0;0;1;0;1
1633954;621004060084;0;0;1;0;0;1
1629673;621004060084;0;0;0;1;0;1
1633956;621004060084;0;0;0;1;0;1
1637938;621004060044;0;0;0;1;0;1
1640136;621004060073;0;0;1;0;0;1
1640138;621004060073;0;0;0;1;0;1
1640224;621004060005;0;0;1;0;0;1
1640295;621004060005;0;0;1;0;0;1
1640298;621004060005;0;0;1;0;0;1
1640302;621004060005;0;0;1;0;0;1
1640303;621004060005;0;0;1;0;0;1
1640305;621004060005;0;0;1;0;0;1
1640307;621004060005;0;0;1;0;0;1
1640310;621004060005;0;0;1;0;0;1
1640313;621004060005;0;0;1;0;0;1
1640311;621004060005;0;0;1;0;0;1
1640312;621004060005;0;0;1;0;0;1
1640306;621004060005;0;0;1;0;0;1
1640318;621004060005;0;0;1;0;0;1
1640315;621004060005;0;0;1;0;0;1
1640321;621004060005;0;0;1;0;0;1
1640308;621004060005;0;0;1;0;0;1
1640317;621004060005;0;0;1;0;0;1
1640319;621004060005;0;0;1;0;0;1
1640327;621004060005;0;0;1;0;0;1
1640325;621004060005;0;0;1;0;0;1
1640326;621004060005;0;0;1;0;0;1
1640323;621004060005;0;0;1;0;0;1
1640304;621004060005;0;0;1;0;0;1
1640328;621004060005;0;0;1;0;0;1
1640320;621004060005;0;0;1;0;0;1
1640324;621004060005;0;0;1;0;0;1
1640332;621004060005;0;0;1;0;0;1
1640334;621004060005;0;0;1;0;0;1
1640333;621004060005;0;0;1;0;0;1
1640335;621004060005;0;0;1;0;0;1
1640329;621004060005;0;0;1;0;0;1
1640331;621004060005;0;0;1;0;0;1
1640330;621004060005;0;0;1;0;0;1
1640316;621004060005;0;0;1;0;0;1
1640309;621004060005;0;0;1;0;0;1
1640358;621004060005;0;0;1;0;0;1
1640314;621004060005;0;0;1;0;0;1
1640322;621004060005;0;0;1;0;0;1
1640734;125002040103;0;0;1;0;0;1
1640842;125002040103;0;0;0;1;0;1
1641693;125002040104;0;0;1;0;0;1
1640613;125002040103;0;0;1;0;0;1
1642606;222099910175;0;0;0;1;0;1
1641849;125002040105;0;0;1;0;0;1
1640843;125002040103;0;0;0;1;0;1
Totales;93 DTE;1;6;70;14;2;
