CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.57.73.62;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.57.73.62;El valor de Receptor.Nit debe ser entre 9 y 14 caracteres;Errores Totales
1643821;611001060010;1;0;0;0;1
1643892;611001050011;0;1;0;0;1
1643767;611001060011;0;1;0;0;1
1643737;611001060011;0;1;0;0;1
1643953;114203990114;0;1;0;0;1
1643286;611001060006;0;1;0;0;1
1643913;114103990113;0;1;0;0;1
1644120;114203990147;0;1;0;0;1
1644165;114203990147;0;1;0;0;1
1644133;114203990147;0;1;0;0;1
1651551;621004060007;0;0;1;0;1
1651554;621004060007;0;0;1;0;1
1644540;114204990111;1;0;0;0;1
1644613;114204990113;0;1;0;0;1
1645925;611001060002;1;0;0;0;1
1648923;611001060002;1;0;0;0;1
1651699;621001020004;0;0;1;0;1
1651636;621001020004;0;1;0;0;1
1651632;621001020004;0;1;0;0;1
1651612;621001020004;0;1;0;0;1
1651690;621001020004;0;1;0;0;1
1651741;621001020004;0;1;0;0;1
1651680;621001020004;0;1;0;0;1
1651768;621001020004;0;1;0;0;1
1651736;621001020004;0;1;0;0;1
1651786;621001020004;0;1;0;0;1
1651868;621001020004;0;0;1;0;1
1651732;621001020004;0;1;0;0;1
1651852;621001020004;0;1;0;0;1
1651869;621001020004;0;1;0;0;1
1651994;621004060013;0;0;1;0;1
1651861;621001020004;1;0;0;0;1
1651950;621001020004;1;0;0;0;1
1651952;621001020004;1;0;0;0;1
1652060;621004060084;1;0;0;0;1
1652114;621004060084;1;0;0;0;1
1652253;621004060084;1;0;0;0;1
1655053;621004060084;1;0;0;0;1
1655055;621004060084;0;1;0;0;1
1655073;621004060084;0;1;0;0;1
1663120;621004060005;0;0;0;1;1
1652237;621004060084;0;1;0;0;1
1655079;621004060084;0;1;0;0;1
1660286;621004060044;0;1;0;0;1
1661214;621004060044;1;0;0;0;1
1655074;621004060084;1;0;0;0;1
1660866;621004060044;1;0;0;0;1
1662457;621004060044;0;1;0;0;1
1660355;621004060044;0;1;0;0;1
1662870;621004060005;0;1;0;0;1
1662836;621004060073;0;1;0;0;1
1663000;621004060005;0;0;1;0;1
1662919;621004060005;1;0;0;0;1
1662922;621004060005;1;0;0;0;1
1655054;621004060084;1;0;0;0;1
1663437;125002040103;0;1;0;0;1
1663721;125002040103;0;1;0;0;1
1664457;125002040104;0;1;0;0;1
Totales;58 DTE;17;34;6;1;
