CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.57.73.62;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.57.73.62;Errores Totales
1679540;611001060010;1;0;0;1
1679604;114103990167;1;0;0;1
1679623;114203990147;1;0;0;1
1679622;114203990147;1;0;0;1
1679496;621004060080;0;1;0;1
1679539;611001060010;1;0;0;1
1684988;621004060007;0;0;1;1
1679018;611001060006;1;0;0;1
1684994;621004060007;0;0;1;1
1679570;114103990113;1;0;0;1
1685020;621004060007;0;0;1;1
1679715;114204990111;1;0;0;1
1679923;114204990121;0;1;0;1
1679806;114204990111;1;0;0;1
1680971;611001060002;1;0;0;1
1679714;114204990111;1;0;0;1
1680719;611001060002;0;1;0;1
1680483;114204990131;1;0;0;1
1680482;114204990131;1;0;0;1
1685047;621001020004;1;0;0;1
1685151;621001020004;0;0;1;1
1679780;114204990111;0;1;0;1
1685119;621001020004;0;1;0;1
1685242;621001020004;0;1;0;1
1685355;621001020004;0;0;1;1
1685276;621001020004;0;1;0;1
1685284;621001020004;0;1;0;1
1685500;621001020004;0;0;1;1
1685422;621001020004;1;0;0;1
1685528;621001020004;1;0;0;1
1687590;621004060084;1;0;0;1
1685661;621004060084;0;1;0;1
1686314;621004060084;1;0;0;1
1688805;621004060084;1;0;0;1
1685976;621004060084;0;1;0;1
1685583;621004060013;1;0;0;1
1687681;621004060084;1;0;0;1
1685956;621004060084;1;0;0;1
1687594;621004060084;0;1;0;1
1685665;621004060084;1;0;0;1
1687662;621004060084;1;0;0;1
1687580;621004060084;0;1;0;1
1685659;621004060084;1;0;0;1
1691590;621004060044;0;1;0;1
1691620;621004060044;1;0;0;1
1691709;621004060044;0;1;0;1
1692061;621004060005;0;0;1;1
1692024;621004060005;1;0;0;1
1692064;621004060005;1;0;0;1
1692077;621004060005;1;0;0;1
1692199;621004060006;0;0;1;1
1692200;621004060006;0;0;1;1
1692065;621004060005;1;0;0;1
1692168;621004060005;1;0;0;1
1692253;125002040103;0;1;0;1
1693230;125002040105;1;0;0;1
1693452;125002040106;0;1;0;1
1692209;621004060031;1;0;0;1
1694048;125099910124;0;1;0;1
1693231;125002040105;1;0;0;1
1692665;125002040103;1;0;0;1
1693810;125099910124;0;1;0;1
1693232;125002040105;1;0;0;1
1693288;125002040105;1;0;0;1
Totales;64 DTE;37;18;9;
