CORRELATIVO;CUENTA_CONTABLE;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA NO SE HA PROPORCIONADO DATOS PARA VALIDAR. Su direccion IP es: 190.57.73.62;Errores Totales
1699111;621004060007;1;0;0;0;1
1694255;611001050011;0;1;0;0;1
1694243;611001060010;0;1;0;0;1
1699112;621004060007;0;1;0;0;1
1694393;114204990113;0;1;0;0;1
1694394;114204990113;0;1;0;0;1
1694242;611001060010;0;1;0;0;1
1694596;114204990124;0;1;0;0;1
1696760;611001060002;0;0;1;0;1
1694355;114204990111;0;1;0;0;1
1699126;621001020004;0;1;0;0;1
1694057;611001060006;0;1;0;0;1
1699146;621004060013;1;0;0;0;1
1699147;621004060013;1;0;0;0;1
1699148;621004060013;1;0;0;0;1
1699130;621001020004;0;1;0;0;1
1699122;621004060007;0;1;0;0;1
1705144;621004060036;1;0;0;0;1
1694056;611001060006;0;1;0;0;1
1699187;621004060084;0;0;1;0;1
1699798;621004060084;0;1;0;0;1
1701022;621004060084;0;1;0;0;1
1702487;621004060044;0;0;1;0;1
1701098;621004060084;0;1;0;0;1
1702910;621004060044;0;1;0;0;1
1702934;621004060044;0;0;1;0;1
1702662;621004060044;0;1;0;0;1
1699211;621004060084;0;1;0;0;1
1703675;621004060044;0;0;1;0;1
1705049;621004060044;0;1;0;0;1
1701012;621004060084;0;1;0;0;1
1701021;621004060084;0;1;0;0;1
1704423;621004060044;0;1;0;0;1
1703211;621004060044;0;1;0;0;1
1705020;621004060044;0;0;1;0;1
1699234;621004060084;0;0;1;0;1
1705346;621004060005;0;0;0;1;1
1705746;125002040104;0;1;0;0;1
1705037;621004060044;0;1;0;0;1
1705521;125002040103;0;1;0;0;1
Totales;40 DTE;5;27;7;1;
