CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.57.73.62;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA NO SE HA PROPORCIONADO DATOS PARA VALIDAR. Su direccion IP es: 190.57.73.62;Errores Totales
1751918;621004060005;1;0;0;0;1
1751917;621004060005;1;0;0;0;1
1751942;621004060005;1;0;0;0;1
1751985;621004060031;1;0;0;0;1
1751992;621004060031;0;1;0;0;1
1752116;125002040103;0;1;0;0;1
1752121;125002040103;0;1;0;0;1
1752237;125002040103;0;1;0;0;1
1743038;611001060009;0;1;0;0;1
1743116;114203990167;0;1;0;0;1
1744401;611001060002;1;0;0;0;1
1744090;114204990124;0;1;0;0;1
1746817;621001020004;0;0;1;0;1
1746764;621001020004;0;1;0;0;1
1746756;621001020004;0;1;0;0;1
1746852;621001020004;0;1;0;0;1
1746876;621001020004;0;1;0;0;1
1746883;621001020004;0;1;0;0;1
1746897;621001020004;0;1;0;0;1
1746899;621001020004;0;1;0;0;1
1747131;621001020004;0;0;1;0;1
1747118;621001020004;0;1;0;0;1
1747165;621001020004;0;1;0;0;1
1747140;621001020004;0;1;0;0;1
1747182;621001020004;0;1;0;0;1
1747218;621001020004;0;1;0;0;1
1748332;621004060084;1;0;0;0;1
1748336;621004060084;0;1;0;0;1
1747522;621004060084;0;1;0;0;1
1748830;225004010004;0;1;0;0;1
1748730;621004060084;0;1;0;0;1
1748838;225004010004;0;1;0;0;1
1748885;225004010004;0;1;0;0;1
1749175;621004060044;0;1;0;0;1
1748877;225004010004;0;1;0;0;1
1749360;621004060044;1;0;0;0;1
1749691;621004060044;1;0;0;0;1
1749391;621004060044;1;0;0;0;1
1749037;621004060044;0;1;0;0;1
1750294;621004060044;1;0;0;0;1
1751465;621004060044;0;1;0;0;1
1749600;621004060044;0;1;0;0;1
1751478;621004060044;0;1;0;0;1
1751528;621004060044;1;0;0;0;1
1751477;621004060044;0;1;0;0;1
1750966;621004060044;0;1;0;0;1
1751780;621004060005;0;1;0;0;1
1751797;621004060005;0;1;0;0;1
1751823;621004060005;0;1;0;0;1
1751862;621004060005;0;0;0;1;1
1753119;125002040105;0;1;0;0;1
1753018;125002040104;0;1;0;0;1
1753118;125002040105;0;1;0;0;1
Totales;53 DTE;11;39;2;1;
