CORRELATIVO;CUENTA_CONTABLE;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.57.73.62;Errores Totales
1761276;621001020004;1;0;0;1
1755509;621004060070;0;1;0;1
1755693;621004060070;0;1;0;1
1757387;114204990121;0;1;0;1
1761290;621001020004;0;0;1;1
1757312;114204990121;0;1;0;1
1761364;621001020004;0;0;1;1
1761345;621001020004;0;0;1;1
1761342;621001020004;0;1;0;1
1761463;621001020004;0;0;1;1
1761388;621001020004;0;0;1;1
1761567;621001020004;1;0;0;1
1761512;621001020004;0;0;1;1
1761547;621001020004;0;0;1;1
1761492;621001020004;0;1;0;1
1761574;621001020004;0;0;1;1
1761616;621001020004;0;1;0;1
1763251;225004010004;1;0;0;1
1763299;225004010004;1;0;0;1
1762326;621004060084;0;0;1;1
1762703;621004060084;0;0;1;1
1763021;621004060084;0;1;0;1
1762840;621004060084;0;0;1;1
1763525;621004060044;0;1;0;1
1763800;621004060044;0;0;1;1
1764127;621004060044;0;0;1;1
1766223;621004060044;0;1;0;1
1763859;621004060044;0;0;1;1
1766225;621004060044;0;0;1;1
1766209;621004060044;0;0;1;1
1763752;621004060044;0;0;1;1
1763825;621004060044;0;0;1;1
1766221;621004060044;0;0;1;1
1766377;621004060036;0;0;1;1
1766423;621004060073;0;0;1;1
1766562;621004060005;1;0;0;1
1768558;125002040103;0;1;0;1
1770626;222099910175;0;1;0;1
1770812;222099910175;0;1;0;1
1768775;125002040103;0;1;0;1
Totales;40 DTE;5;14;21;
