CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.57.73.62;Errores Totales
1797183;114203990142;1;0;1
1801975;621001020004;1;0;1
1803492;621004060084;0;1;1
1803493;621004060084;0;1;1
1803532;621004060084;0;1;1
1803531;621004060084;0;1;1
1803482;621004060084;1;0;1
1804780;621004060044;0;1;1
1804581;621004060044;1;0;1
1804812;621004060044;0;1;1
1805377;621004060044;1;0;1
1807843;621004060044;0;1;1
1807079;621004060044;1;0;1
1807860;621004060044;1;0;1
1807859;621004060044;0;1;1
1808043;621004060049;0;1;1
1808160;621004060073;1;0;1
1804624;621004060044;1;0;1
1804759;621004060044;1;0;1
1809007;125002040105;1;0;1
Totales;20 DTE;11;9;
