CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.57.73.62;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA NO SE HA PROPORCIONADO DATOS PARA VALIDAR. Su direccion IP es: 190.57.73.62;Errores Totales
1815732;621004060070;1;0;0;0;1
1817474;114203990167;1;0;0;0;1
1817672;114204990121;0;1;0;0;1
1819756;114204990124;1;0;0;0;1
1819263;114204990121;1;0;0;0;1
1819758;114204990124;0;1;0;0;1
1820082;611001060002;0;1;0;0;1
1819839;114204990131;1;0;0;0;1
1823595;621004060007;1;0;0;0;1
1823769;621001020004;0;0;1;0;1
1823715;621001020004;1;0;0;0;1
1823888;621001020004;0;0;1;0;1
1823915;621001020004;0;0;1;0;1
1823807;621001020004;1;0;0;0;1
1823868;621001020004;1;0;0;0;1
1823995;621001020004;0;0;1;0;1
1823914;621001020004;0;1;0;0;1
1824008;621001020004;0;1;0;0;1
1824045;621001020004;1;0;0;0;1
1824041;621001020004;0;1;0;0;1
1825754;621004060044;0;1;0;0;1
1825725;621004060044;0;1;0;0;1
1828345;621004060044;0;1;0;0;1
1827122;621004060044;1;0;0;0;1
1828375;621004060044;1;0;0;0;1
1828459;621004060044;0;1;0;0;1
1828418;621004060044;0;1;0;0;1
1827028;621004060044;0;1;0;0;1
1825636;621004060044;1;0;0;0;1
1825870;621004060044;0;1;0;0;1
1825026;621004060084;1;0;0;0;1
1825748;621004060044;1;0;0;0;1
1828648;621004060005;0;0;0;1;1
1828647;621004060005;1;0;0;0;1
1828677;621004060005;1;0;0;0;1
1828699;621004060005;1;0;0;0;1
1828969;125002040103;1;0;0;0;1
1829363;125002040103;0;1;0;0;1
1829364;125002040103;0;1;0;0;1
1829472;125002040103;1;0;0;0;1
1830764;125002040103;1;0;0;0;1
1831336;125002040104;1;0;0;0;1
1832121;222099910175;1;0;0;0;1
1833764;125099910124;0;1;0;0;1
1831337;125002040104;1;0;0;0;1
1831483;125002040105;1;0;0;0;1
1832214;222099910175;0;1;0;0;1
Totales;47 DTE;25;17;4;1;
