CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.57.73.62;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.57.73.62;El valor de Receptor.Nit debe ser entre 9 y 14 caracteres;Error MINISTERIO HACIENDA NO SE HA PROPORCIONADO DATOS PARA VALIDAR. Su direccion IP es: 190.57.73.62;Errores Totales
1951477;621004060038;1;0;0;0;0;1
1950420;621004060070;0;1;0;0;0;1
1953865;114204990121;0;1;0;0;0;1
1956592;611001060002;0;1;0;0;0;1
1963570;621004060007;0;0;1;0;0;1
1952198;114204990111;1;0;0;0;0;1
1963515;621004060007;1;0;0;0;0;1
1963743;621004060007;0;0;0;1;0;1
1963546;621004060007;1;0;0;0;0;1
1963683;621004060007;0;0;1;0;0;1
1963797;621004060007;1;0;0;0;0;1
1963832;621004060007;1;0;0;0;0;1
1963774;621004060007;1;0;0;0;0;1
1963925;621004060007;0;0;1;0;0;1
1963947;621004060007;0;0;1;0;0;1
1963988;621004060007;1;0;0;0;0;1
1964018;621004060007;1;0;0;0;0;1
1964095;621001020004;0;0;1;0;0;1
1964065;621004060007;1;0;0;0;0;1
1964064;621004060007;1;0;0;0;0;1
1964070;621004060007;1;0;0;0;0;1
1964141;621001020004;0;1;0;0;0;1
1964142;621001020004;1;0;0;0;0;1
1964170;621001020004;1;0;0;0;0;1
1964225;621001020004;1;0;0;0;0;1
1964330;621001020004;1;0;0;0;0;1
1964355;621001020004;0;1;0;0;0;1
1964404;621001020004;1;0;0;0;0;1
1964467;621001020004;1;0;0;0;0;1
1964497;621001020004;1;0;0;0;0;1
1964625;621001020004;0;0;1;0;0;1
1964613;621001020004;0;1;0;0;0;1
1964711;621004060013;0;0;1;0;0;1
1964710;621004060013;0;0;1;0;0;1
1964596;621001020004;1;0;0;0;0;1
1964589;621001020004;1;0;0;0;0;1
1964712;621004060013;0;0;1;0;0;1
1964713;621004060013;0;0;1;0;0;1
1964656;621001020004;1;0;0;0;0;1
1964581;621001020004;1;0;0;0;0;1
1964749;621004060013;0;0;1;0;0;1
1964760;621004060013;0;0;1;0;0;1
1964742;621004060013;0;1;0;0;0;1
1967889;621004060084;1;0;0;0;0;1
1965839;621004060084;0;1;0;0;0;1
1968016;621004060084;0;1;0;0;0;1
1970790;225004010004;1;0;0;0;0;1
1971034;621001020013;0;0;1;0;0;1
1970916;225004010004;1;0;0;0;0;1
1967893;621004060084;1;0;0;0;0;1
1978703;621004060036;0;0;1;0;0;1
1972651;621004060044;0;1;0;0;0;1
1972797;621004060044;1;0;0;0;0;1
1974000;621004060044;1;0;0;0;0;1
1973158;621004060044;0;1;0;0;0;1
1974202;621004060044;1;0;0;0;0;1
1974315;621004060044;0;1;0;0;0;1
1978554;621004060044;0;1;0;0;0;1
1978600;621004060044;0;1;0;0;0;1
1980794;621004060049;1;0;0;0;0;1
1982301;621004060049;1;0;0;0;0;1
1983732;621004060049;0;1;0;0;0;1
1979200;621004060049;0;1;0;0;0;1
1985227;621004060049;1;0;0;0;0;1
1978551;621004060044;1;0;0;0;0;1
1982472;621004060049;1;0;0;0;0;1
1986116;621004060073;0;1;0;0;0;1
1986170;621004060073;1;0;0;0;0;1
1986121;621004060073;1;0;0;0;0;1
1986132;621004060073;1;0;0;0;0;1
1986142;621004060073;0;1;0;0;0;1
1986120;621004060073;1;0;0;0;0;1
1973666;621004060044;0;1;0;0;0;1
1986215;621004060073;0;1;0;0;0;1
1986218;621004060073;0;1;0;0;0;1
1986214;621004060073;1;0;0;0;0;1
1986239;621004060073;1;0;0;0;0;1
1986219;621004060073;0;1;0;0;0;1
1986190;621004060073;1;0;0;0;0;1
1986213;621004060073;1;0;0;0;0;1
1986250;621004060073;0;1;0;0;0;1
1986283;621004060073;1;0;0;0;0;1
1986279;621004060073;0;1;0;0;0;1
1986126;621004060073;1;0;0;0;0;1
1986330;621004060073;1;0;0;0;0;1
1986225;621004060073;0;1;0;0;0;1
1986305;621004060073;1;0;0;0;0;1
1986322;621004060073;0;1;0;0;0;1
1978504;621004060044;0;1;0;0;0;1
1986103;621004060073;1;0;0;0;0;1
1986324;621004060073;0;1;0;0;0;1
1986397;621004060073;1;0;0;0;0;1
1986402;621004060073;1;0;0;0;0;1
1986251;621004060073;0;1;0;0;0;1
1986423;621004060073;1;0;0;0;0;1
1986240;621004060073;1;0;0;0;0;1
1986441;621004060073;0;1;0;0;0;1
1986310;621004060073;0;1;0;0;0;1
1986466;621004060073;1;0;0;0;0;1
1986193;621004060073;1;0;0;0;0;1
1986555;621004060073;1;0;0;0;0;1
1986549;621004060073;0;1;0;0;0;1
1986581;621004060073;1;0;0;0;0;1
1986589;621004060073;0;1;0;0;0;1
1978835;621004060049;1;0;0;0;0;1
1986405;621004060073;1;0;0;0;0;1
1986645;621004060073;0;1;0;0;0;1
1986630;621004060073;0;1;0;0;0;1
1986461;621004060073;1;0;0;0;0;1
1986657;621004060073;1;0;0;0;0;1
1986316;621004060073;1;0;0;0;0;1
1986736;621004060073;1;0;0;0;0;1
1986450;621004060073;1;0;0;0;0;1
1986540;621004060073;1;0;0;0;0;1
1986556;621004060073;1;0;0;0;0;1
1986691;621004060073;1;0;0;0;0;1
1986718;621004060073;1;0;0;0;0;1
1986756;621004060073;1;0;0;0;0;1
1986448;621004060073;1;0;0;0;0;1
1986403;621004060073;1;0;0;0;0;1
1986733;621004060073;1;0;0;0;0;1
1986789;621004060073;0;1;0;0;0;1
1986778;621004060073;0;1;0;0;0;1
1986851;621004060073;1;0;0;0;0;1
1986785;621004060073;0;1;0;0;0;1
1986846;621004060073;0;1;0;0;0;1
1986873;621004060005;0;0;0;0;1;1
1986844;621004060073;1;0;0;0;0;1
1986171;621004060073;1;0;0;0;0;1
1986824;621004060073;1;0;0;0;0;1
1986962;621004060005;0;1;0;0;0;1
1986712;621004060073;1;0;0;0;0;1
1987134;621004060005;0;0;1;0;0;1
1987098;621004060005;1;0;0;0;0;1
1987100;621004060005;1;0;0;0;0;1
1987102;621004060005;1;0;0;0;0;1
1987101;621004060005;1;0;0;0;0;1
1987116;621004060005;1;0;0;0;0;1
1987110;621004060005;1;0;0;0;0;1
1987096;621004060005;1;0;0;0;0;1
1987107;621004060005;1;0;0;0;0;1
1987115;621004060005;1;0;0;0;0;1
1987099;621004060005;1;0;0;0;0;1
1987103;621004060005;1;0;0;0;0;1
1987113;621004060005;1;0;0;0;0;1
1987108;621004060005;1;0;0;0;0;1
1987105;621004060005;1;0;0;0;0;1
1987095;621004060005;1;0;0;0;0;1
1987109;621004060005;1;0;0;0;0;1
1987118;621004060005;1;0;0;0;0;1
1987097;621004060005;1;0;0;0;0;1
1987114;621004060005;1;0;0;0;0;1
1987112;621004060005;1;0;0;0;0;1
1987119;621004060005;1;0;0;0;0;1
1987121;621004060005;1;0;0;0;0;1
1987111;621004060005;1;0;0;0;0;1
1987123;621004060005;1;0;0;0;0;1
